 ******* Program HYDRUS
 ******* James Reserves, Riverside, CA                                           

 Units: L = cm   , T = days 

 Year  Time          rTop        rRoot        vTop         vRoot        vBot       sum(rTop)   sum(rRoot)    sum(vTop)   sum(vRoot)    sum(vBot)      hTop         hRoot        hBot        RunOff    sum(RunOff)     Volume     sum(Infil)    sum(Evap) TLevel Cum(WTrans)
        [T]         [L/T]        [L/T]        [L/T]        [L/T]        [L/T]         [L]          [L]          [L]         [L]           [L]         [L]           [L]         [L]          [L/T]         [L]          [L]          [L]          [L]

2000        0.0000 -0.28803E+01  0.00000E+00 -0.27738E+01 -0.24464E+02  0.20049E-09  0.28803E+01  0.00000E+00  0.80115E+08  0.17603E+02 -0.17544E+01 -0.22966E+05 -0.35703E+08 -0.40667E+07 -0.10654E+00  0.21806E+02  0.13033E+01 -0.80115E+08 -0.25891E+02    109  0.00000E+00
2000        0.0000 -0.28803E+01  0.00000E+00 -0.40249E-03 -0.95530E-02  0.20049E-09  0.28803E+01  0.00000E+00  0.80115E+08  0.17639E+02 -0.17544E+01 -0.22966E+05 -0.13512E+09 -0.40667E+07 -0.28799E+01  0.21822E+02  0.13008E+01 -0.80115E+08 -0.25891E+02    115  0.00000E+00
2000        0.0000 -0.28803E+01  0.00000E+00 -0.17464E-01 -0.38314E-02  0.20049E-09  0.28803E+01  0.00000E+00  0.80115E+08  0.17671E+02 -0.17544E+01 -0.22966E+05 -0.21544E+09 -0.40667E+07 -0.28628E+01  0.21826E+02  0.15798E+01 -0.80115E+08 -0.25891E+02    123  0.00000E+00
2000        0.0000 -0.28803E+01  0.00000E+00 -0.42978E-01 -0.45342E+00  0.20049E-09  0.28803E+01  0.00000E+00  0.80115E+08  0.17898E+02 -0.17544E+01 -0.22966E+05 -0.32834E+08 -0.40667E+07 -0.28373E+01  0.21819E+02  0.12963E+01 -0.80115E+08 -0.25891E+02    127  0.00000E+00
2000        0.0000 -0.28803E+01  0.00000E+00 -0.11801E-03 -0.23278E-01  0.20049E-09  0.28803E+01  0.00000E+00  0.80115E+08  0.17920E+02 -0.17544E+01 -0.22966E+05 -0.14109E+09 -0.40667E+07 -0.28802E+01  0.21829E+02  0.13212E+01 -0.80115E+08 -0.25891E+02    131  0.00000E+00
2000        0.0000 -0.28803E+01  0.00000E+00 -0.63596E-04 -0.53260E-02  0.20049E-09  0.28803E+01  0.00000E+00  0.80115E+08  0.17968E+02 -0.17544E+01 -0.22966E+05 -0.12542E+09 -0.40667E+07 -0.28802E+01  0.21838E+02  0.13379E+01 -0.80115E+08 -0.25891E+02    139  0.00000E+00
2000        0.0000 -0.28803E+01  0.00000E+00  0.36463E-01 -0.10809E-01  0.20049E-09  0.28803E+01  0.00000E+00  0.80115E+08  0.18029E+02 -0.17544E+01 -0.22966E+05 -0.15475E+09 -0.40667E+07 -0.29168E+01  0.21850E+02  0.12910E+01 -0.80115E+08 -0.26378E+02    149  0.00000E+00
2000        0.0000 -0.28803E+01  0.00000E+00  0.28630E+01 -0.91425E-02  0.20049E-09  0.28803E+01  0.00000E+00  0.80115E+08  0.18041E+02 -0.17544E+01 -0.22966E+05 -0.57569E+08 -0.40667E+07 -0.57433E+01  0.23285E+02  0.27019E+01 -0.80115E+08 -0.29249E+02    153  0.00000E+00
2000        0.0000 -0.28803E+01  0.00000E+00 -0.81819E+01 -0.35805E+02  0.20049E-09  0.28803E+01  0.00000E+00  0.80115E+08  0.18704E+02 -0.17544E+01 -0.22966E+05 -0.95446E+08 -0.40667E+07  0.00000E+00  0.23285E+02  0.14234E+01 -0.80115E+08 -0.29249E+02    155  0.00000E+00
2000        0.0000 -0.28803E+01  0.00000E+00 -0.25202E+01 -0.40633E+01  0.20049E-09  0.28803E+01  0.00000E+00  0.80115E+08  0.18779E+02 -0.17544E+01 -0.22966E+05 -0.22824E+10 -0.40667E+07 -0.36014E+00  0.23292E+02  0.13662E+01 -0.80115E+08 -0.29249E+02    157  0.00000E+00
2000        0.0000 -0.28803E+01  0.00000E+00 -0.10754E-03 -0.10287E-01  0.20049E-09  0.28803E+01  0.00000E+00  0.80115E+08  0.18861E+02 -0.17544E+01 -0.22966E+05 -0.36500E+09 -0.40667E+07 -0.28802E+01  0.23291E+02  0.13207E+01 -0.80115E+08 -0.29249E+02    165  0.00000E+00
2000        0.0000 -0.28803E+01  0.00000E+00 -0.22582E-01 -0.39744E-02  0.20049E-09  0.28803E+01  0.00000E+00  0.80115E+08  0.18909E+02 -0.17544E+01 -0.22966E+05 -0.42883E+09 -0.40667E+07 -0.28577E+01  0.23288E+02  0.15792E+01 -0.80115E+08 -0.29249E+02    173  0.00000E+00
2000        0.0000 -0.28803E+01  0.00000E+00 -0.42832E-01 -0.45247E+00  0.20049E-09  0.28803E+01  0.00000E+00  0.80115E+08  0.19135E+02 -0.17544E+01 -0.22966E+05 -0.33117E+08 -0.40667E+07 -0.28375E+01  0.23281E+02  0.12963E+01 -0.80115E+08 -0.29249E+02    177  0.00000E+00
2000        0.0000 -0.28803E+01  0.00000E+00 -0.11801E-03 -0.23278E-01  0.20049E-09  0.28803E+01  0.00000E+00  0.80115E+08  0.19157E+02 -0.17544E+01 -0.22966E+05 -0.14143E+09 -0.40667E+07 -0.28802E+01  0.23290E+02  0.13212E+01 -0.80115E+08 -0.29249E+02    181  0.00000E+00
2000        0.0000 -0.28803E+01  0.00000E+00 -0.63596E-04 -0.53262E-02  0.20049E-09  0.28803E+01  0.00000E+00  0.80115E+08  0.19205E+02 -0.17544E+01 -0.22966E+05 -0.12574E+09 -0.40667E+07 -0.28802E+01  0.23300E+02  0.13379E+01 -0.80115E+08 -0.29249E+02    189  0.00000E+00
2000        0.0000 -0.28803E+01  0.00000E+00 -0.54918E-01 -0.10809E-01  0.20049E-09  0.28803E+01  0.00000E+00  0.80115E+08  0.19266E+02 -0.17544E+01 -0.22966E+05 -0.15507E+09 -0.40667E+07 -0.28254E+01  0.23297E+02  0.12838E+01 -0.80115E+08 -0.29249E+02    199  0.00000E+00
2000        0.0000 -0.28803E+01  0.00000E+00 -0.13804E-01 -0.34232E-02  0.20049E-09  0.28803E+01  0.00000E+00  0.80115E+08  0.19277E+02 -0.17544E+01 -0.22966E+05 -0.23336E+09 -0.40667E+07 -0.28665E+01  0.23303E+02  0.15796E+01 -0.80115E+08 -0.29249E+02    203  0.00000E+00
2000        0.0000 -0.28803E+01  0.00000E+00 -0.27738E+01 -0.24464E+02  0.20049E-09  0.28803E+01  0.00000E+00  0.80115E+08  0.19428E+02 -0.17544E+01 -0.22966E+05 -0.35703E+08 -0.40667E+07 -0.10654E+00  0.23304E+02  0.13033E+01 -0.80115E+08 -0.29249E+02    205  0.00000E+00
2000        0.0000 -0.28803E+01  0.00000E+00 -0.40249E-03 -0.95530E-02  0.20049E-09  0.28803E+01  0.00000E+00  0.80115E+08  0.19464E+02 -0.17544E+01 -0.22966E+05 -0.13512E+09 -0.40667E+07 -0.28799E+01  0.23320E+02  0.13008E+01 -0.80115E+08 -0.29249E+02    211  0.00000E+00
2000        0.0000 -0.28803E+01  0.00000E+00 -0.17464E-01 -0.38314E-02  0.20049E-09  0.28803E+01  0.00000E+00  0.80115E+08  0.19496E+02 -0.17544E+01 -0.22966E+05 -0.21544E+09 -0.40667E+07 -0.28628E+01  0.23324E+02  0.15798E+01 -0.80115E+08 -0.29249E+02    219  0.00000E+00
2000        0.0000 -0.28803E+01  0.00000E+00 -0.42978E-01 -0.45342E+00  0.20049E-09  0.28803E+01  0.00000E+00  0.80115E+08  0.19723E+02 -0.17544E+01 -0.22966E+05 -0.32833E+08 -0.40667E+07 -0.28373E+01  0.23317E+02  0.12963E+01 -0.80115E+08 -0.29249E+02    223  0.00000E+00
2000        0.0000 -0.28803E+01  0.00000E+00 -0.11801E-03 -0.23278E-01  0.20049E-09  0.28803E+01  0.00000E+00  0.80115E+08  0.19745E+02 -0.17544E+01 -0.22966E+05 -0.14109E+09 -0.40667E+07 -0.28802E+01  0.23326E+02  0.13212E+01 -0.80115E+08 -0.29249E+02    227  0.00000E+00
2000        0.0000 -0.28803E+01  0.00000E+00 -0.63596E-04 -0.53260E-02  0.20049E-09  0.28803E+01  0.00000E+00  0.80115E+08  0.19792E+02 -0.17544E+01 -0.22966E+05 -0.12542E+09 -0.40667E+07 -0.28802E+01  0.23336E+02  0.13379E+01 -0.80115E+08 -0.29249E+02    235  0.00000E+00
2000        0.0000 -0.28803E+01  0.00000E+00  0.36463E-01 -0.10809E-01  0.20049E-09  0.28803E+01  0.00000E+00  0.80115E+08  0.19854E+02 -0.17544E+01 -0.22966E+05 -0.15475E+09 -0.40667E+07 -0.29168E+01  0.23348E+02  0.12910E+01 -0.80115E+08 -0.29735E+02    245  0.00000E+00
2000        0.0000 -0.28803E+01  0.00000E+00  0.28630E+01 -0.91425E-02  0.20049E-09  0.28803E+01  0.00000E+00  0.80115E+08  0.19866E+02 -0.17544E+01 -0.22966E+05 -0.57569E+08 -0.40667E+07 -0.57433E+01  0.24783E+02  0.27019E+01 -0.80115E+08 -0.32607E+02    249  0.00000E+00
2000        0.0000 -0.28803E+01  0.00000E+00 -0.81819E+01 -0.35805E+02  0.20049E-09  0.28803E+01  0.00000E+00  0.80115E+08  0.20529E+02 -0.17544E+01 -0.22966E+05 -0.95446E+08 -0.40667E+07  0.00000E+00  0.24783E+02  0.14234E+01 -0.80115E+08 -0.32607E+02    251  0.00000E+00
2000        0.0000 -0.28803E+01  0.00000E+00 -0.25202E+01 -0.40633E+01  0.20049E-09  0.28803E+01  0.00000E+00  0.80115E+08  0.20604E+02 -0.17544E+01 -0.22966E+05 -0.22824E+10 -0.40667E+07 -0.36014E+00  0.24789E+02  0.13662E+01 -0.80115E+08 -0.32607E+02    253  0.00000E+00
2000        0.0000 -0.28803E+01  0.00000E+00 -0.10754E-03 -0.10287E-01 -0.18426E-07  0.28803E+01  0.00000E+00  0.80115E+08  0.20686E+02 -0.17544E+01 -0.22966E+05 -0.36500E+09 -0.40667E+07 -0.28802E+01  0.24789E+02  0.13207E+01 -0.80115E+08 -0.32607E+02    261  0.00000E+00
2000        0.0000 -0.28803E+01  0.00000E+00 -0.22582E-01 -0.39744E-02  0.20049E-09  0.28803E+01  0.00000E+00  0.80115E+08  0.20733E+02 -0.17544E+01 -0.22966E+05 -0.42883E+09 -0.40667E+07 -0.28577E+01  0.24785E+02  0.15792E+01 -0.80115E+08 -0.32607E+02    269  0.00000E+00
2000        0.0000 -0.28803E+01  0.00000E+00 -0.42832E-01 -0.45247E+00  0.20050E-09  0.28803E+01  0.00000E+00  0.80115E+08  0.20960E+02 -0.17544E+01 -0.22966E+05 -0.33117E+08 -0.40667E+07 -0.28375E+01  0.24778E+02  0.12963E+01 -0.80115E+08 -0.32607E+02    273  0.00000E+00
2000        0.0000 -0.28803E+01  0.00000E+00 -0.11801E-03 -0.23278E-01  0.20050E-09  0.28803E+01  0.00000E+00  0.80115E+08  0.20982E+02 -0.17544E+01 -0.22966E+05 -0.14143E+09 -0.40667E+07 -0.28802E+01  0.24788E+02  0.13212E+01 -0.80115E+08 -0.32607E+02    277  0.00000E+00
2000        0.0000 -0.28803E+01  0.00000E+00 -0.63596E-04 -0.53262E-02  0.20050E-09  0.28803E+01  0.00000E+00  0.80115E+08  0.21029E+02 -0.17544E+01 -0.22966E+05 -0.12574E+09 -0.40667E+07 -0.28802E+01  0.24798E+02  0.13379E+01 -0.80115E+08 -0.32607E+02    285  0.00000E+00
2000        0.0000 -0.28803E+01  0.00000E+00 -0.54918E-01 -0.10809E-01  0.20050E-09  0.28803E+01  0.00000E+00  0.80115E+08  0.21091E+02 -0.17544E+01 -0.22966E+05 -0.15507E+09 -0.40667E+07 -0.28254E+01  0.24795E+02  0.12838E+01 -0.80115E+08 -0.32607E+02    295  0.00000E+00
2000        0.0000 -0.28803E+01  0.00000E+00 -0.13804E-01 -0.34232E-02  0.20050E-09  0.28803E+01  0.00000E+00  0.80115E+08  0.21102E+02 -0.17544E+01 -0.22966E+05 -0.23336E+09 -0.40667E+07 -0.28665E+01  0.24801E+02  0.15796E+01 -0.80115E+08 -0.32607E+02    299  0.00000E+00
2000        0.0000 -0.28803E+01  0.00000E+00 -0.27738E+01 -0.24464E+02  0.20050E-09  0.28803E+01  0.00000E+00  0.80115E+08  0.21253E+02 -0.17544E+01 -0.22966E+05 -0.35703E+08 -0.40667E+07 -0.10654E+00  0.24801E+02  0.13033E+01 -0.80115E+08 -0.32607E+02    301  0.00000E+00
2000        0.0000 -0.28803E+01  0.00000E+00 -0.40249E-03 -0.95530E-02  0.20050E-09  0.28803E+01  0.00000E+00  0.80115E+08  0.21289E+02 -0.17544E+01 -0.22966E+05 -0.13512E+09 -0.40667E+07 -0.28799E+01  0.24818E+02  0.13008E+01 -0.80115E+08 -0.32607E+02    307  0.00000E+00
2000        0.0000 -0.28803E+01  0.00000E+00 -0.17464E-01 -0.38314E-02  0.20049E-09  0.28803E+01  0.00000E+00  0.80115E+08  0.21321E+02 -0.17544E+01 -0.22966E+05 -0.21544E+09 -0.40667E+07 -0.28628E+01  0.24822E+02  0.15798E+01 -0.80115E+08 -0.32607E+02    315  0.00000E+00
2000        0.0000 -0.28803E+01  0.00000E+00 -0.42978E-01 -0.45342E+00  0.20050E-09  0.28803E+01  0.00000E+00  0.80115E+08  0.21547E+02 -0.17544E+01 -0.22966E+05 -0.32834E+08 -0.40667E+07 -0.28373E+01  0.24815E+02  0.12963E+01 -0.80115E+08 -0.32607E+02    319  0.00000E+00
2000        0.0000 -0.28803E+01  0.00000E+00 -0.11801E-03 -0.23278E-01  0.20050E-09  0.28803E+01  0.00000E+00  0.80115E+08  0.21570E+02 -0.17544E+01 -0.22966E+05 -0.14109E+09 -0.40667E+07 -0.28802E+01  0.24824E+02  0.13212E+01 -0.80115E+08 -0.32607E+02    323  0.00000E+00
